"","Year","ENGINE.SIZE","CYLINDERS","TRANSMISSION","FUEL","FUEL.CONSUMPTION","COEMISSIONS","INFO"
"1",2000,1.6,4,"A4","X",10.5,216,"ACURA 1.6EL COMPACT"
"2",2000,1.6,4,"M5","X",9.8,205,"ACURA 1.6EL COMPACT"
"3",2000,3.2,6,"AS5","Z",13.7,265,"ACURA 3.2TL MID-SIZE"
"4",2000,3.5,6,"A4","Z",15,301,"ACURA 3.5RL MID-SIZE"
"5",2000,1.8,4,"A4","X",11.4,230,"ACURA INTEGRA SUBCOMPACT"
"6",2000,1.8,4,"M5","X",10.6,219,"ACURA INTEGRA SUBCOMPACT"
"7",2000,1.8,4,"M5","Z",10.8,223,"ACURA INTEGRA GSR/TYPE R SUBCOMPACT"
"8",2000,3,6,"AS4","Z",15.2,306,"ACURA NSX SUBCOMPACT"
"9",2000,3.2,6,"M6","Z",15.4,306,"ACURA NSX SUBCOMPACT"
"10",2000,1.8,4,"A5","Z",12.9,251,"AUDI A4 COMPACT"
"11",2000,1.8,4,"M5","Z",11.1,223,"AUDI A4 COMPACT"
"12",2000,2.8,6,"A5","Z",14.6,285,"AUDI A4 COMPACT"
"13",2000,2.8,6,"M5","Z",13.2,260,"AUDI A4 COMPACT"
"14",2000,1.8,4,"A5","Z",13.6,267,"AUDI A4 QUATTRO COMPACT"
"15",2000,1.8,4,"M5","Z",12.1,246,"AUDI A4 QUATTRO COMPACT"
"16",2000,2.8,6,"A5","Z",14.9,292,"AUDI A4 QUATTRO COMPACT"
"17",2000,2.8,6,"M5","Z",14.3,288,"AUDI A4 QUATTRO COMPACT"
"18",2000,2.8,6,"A5","Z",15,294,"AUDI A6 MID-SIZE"
"19",2000,2.8,6,"A5","Z",15.4,306,"AUDI A6 AVANT QUATTRO STATION WAGON - MID-SIZE"
"20",2000,2.7,6,"A5","Z",15.2,304,"AUDI A6 QUATTRO MID-SIZE"
"21",2000,2.7,6,"M6","Z",15.2,304,"AUDI A6 QUATTRO MID-SIZE"
"22",2000,2.8,6,"A5","Z",15.4,306,"AUDI A6 QUATTRO MID-SIZE"
"23",2000,2.8,6,"M5","Z",14.6,297,"AUDI A6 QUATTRO MID-SIZE"
"24",2000,4.2,8,"A5","Z",15.5,308,"AUDI A6 QUATTRO MID-SIZE"
"25",2000,4.2,8,"A5","Z",15.5,308,"AUDI A8 QUATTRO MID-SIZE"
"26",2000,2.7,6,"A5","Z",15.2,304,"AUDI S4 QUATTRO COMPACT"
"27",2000,2.7,6,"M6","Z",15.2,304,"AUDI S4 QUATTRO COMPACT"
"28",2000,1.8,4,"M5","Z",13.1,260,"AUDI TT COUPE QUATTRO MINICOMPACT"
"29",2000,1.8,4,"M6","Z",13.1,260,"AUDI TT COUPE QUATTRO (SUPERCHARGED) MINICOMPACT"
