"","Parcela","Altura"
"1","5pl/m2",213
"2","5pl/m2",221
"3","5pl/m2",220
"4","5pl/m2",210
"5","5pl/m2",205
"6","5pl/m2",224
"7","5pl/m2",215
"8","5pl/m2",212
"9","5pl/m2",225
"10","5pl/m2",216
"11","5pl/m2",207
"12","5pl/m2",205
"13","5pl/m2",215
"14","5pl/m2",213
"15","5pl/m2",213
"16","5pl/m2",215
"17","5pl/m2",214
"18","5pl/m2",199
"19","5pl/m2",215
"20","5pl/m2",215
"21","5pl/m2",210
"22","5pl/m2",201
"23","5pl/m2",209
"24","5pl/m2",204
"25","5pl/m2",197
"26","5pl/m2",202
"27","5pl/m2",221
"28","5pl/m2",221
"29","5pl/m2",226
"30","5pl/m2",219
"31","5pl/m2",215
"32","5pl/m2",222
"33","5pl/m2",212
"34","5pl/m2",208
"35","5pl/m2",208
"36","5pl/m2",219
"37","5pl/m2",198
"38","5pl/m2",217
"39","5pl/m2",208
"40","5pl/m2",193
"41","10pl/m2",230
"42","10pl/m2",221
"43","10pl/m2",223
"44","10pl/m2",209
"45","10pl/m2",233
"46","10pl/m2",230
"47","10pl/m2",231
"48","10pl/m2",221
"49","10pl/m2",213
"50","10pl/m2",214
"51","10pl/m2",219
"52","10pl/m2",238
"53","10pl/m2",229
"54","10pl/m2",224
"55","10pl/m2",230
"56","10pl/m2",226
"57","10pl/m2",208
"58","10pl/m2",216
"59","10pl/m2",222
"60","10pl/m2",218
"61","10pl/m2",222
"62","10pl/m2",219
"63","10pl/m2",222
"64","10pl/m2",223
"65","10pl/m2",234
"66","10pl/m2",211
"67","10pl/m2",226
"68","10pl/m2",217
"69","10pl/m2",233
"70","10pl/m2",211
"71","10pl/m2",231
"72","10pl/m2",220
"73","10pl/m2",219
"74","10pl/m2",226
"75","10pl/m2",227
"76","10pl/m2",226
"77","10pl/m2",218
"78","10pl/m2",215
"79","10pl/m2",224
"80","10pl/m2",229
